Country,Incident #,Incident City,Incident Date,Incident Description,Incident Type,Incident Type Code,Incident ZipCode,State,Station,Station City,Station ZipCode,Distance,Incident Position,Station Position,Time to Arrival (s),Time to Dispatch (s),Time to Dispatch Target (s),Time to En Route (s),Time to En Route Target (s)
United States,21047239,Atlanta,1/9/2022 2:16:00 AM,Detailed description of the incident #21047239,fire alarm (assembly),F3A,30312,GA,AFRD Station 10,Atlanta,30312,0.555623005,Point,Point,120,60,240,60,300
United States,21056236,Atlanta,2/8/2022 6:22:00 PM,Detailed description of the incident #21056236,fire (parking deck),F33PD,30312,GA,AFRD Station 4,Atlanta,30312,0.281196095,Point,Point,180,60,240,60,300
United States,21056529,Atlanta,2/9/2022 8:41:00 PM,Detailed description of the incident #21056529,fire (business),F33B,30318,GA,AFRD Station 38,Atlanta,30318,0.432097204,Point,Point,120,0,240,60,300
United States,21057816,Atlanta,2/14/2022 2:36:00 AM,Detailed description of the incident #21057816,grass/brush fire/outside burning,F35,30310,GA,AFRD Station 7,Atlanta,30310,0.713438898,Point,Point,300,120,240,60,300
United States,21063945,Atlanta,3/8/2022 11:03:00 AM,Detailed description of the incident #21063945,odor of gas/smoke or unknown,F93,30315,GA,AFRD Station 30,Atlanta,30315,0.232618728,Point,Point,60,180,240,0,300
United States,21068282,Atlanta,3/25/2022 6:26:00 PM,Detailed description of the incident #21068282,fire (business),F33B,30310,GA,AFRD Station 14,Atlanta,30310,1.549751008,Point,Point,180,60,240,60,300
United States,21076925,Atlanta,5/1/2022 7:06:00 PM,Detailed description of the incident #21076925,fire alarm (assembly),F3A,30363,GA,AFRD Station 11,Atlanta,30363,0.945144072,Point,Point,300,60,240,60,300
United States,21079377,Atlanta,5/13/2022 5:26:00 PM,Detailed description of the incident #21079377,grass/brush fire/outside burning,F35,30331,GA,AFRD Station 9,Atlanta,30331,1.174493701,Point,Point,420,120,240,60,300
United States,21080235,Atlanta,5/17/2022 5:31:00 PM,Detailed description of the incident #21080235,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.588019468,Point,Point,1020,360,240,60,300
United States,22005267,Atlanta,7/24/2022 7:08:00 AM,Detailed description of the incident #22005267,vehicle fire,F34,30363,GA,AFRD Station 11,Atlanta,30363,0.158014104,Point,Point,540,120,240,0,300
United States,21000927,Atlanta,11/11/2021 12:31:00 PM,Detailed description of the incident #21000927,fire alarm (assembly),F3A,30316,GA,AFRD Station 13,Atlanta,30316,0.528838705,Point,Point,240,60,240,60,300
United States,21005974,Atlanta,12/1/2021 7:11:00 AM,Detailed description of the incident #21005974,fire alarm (assembly),F3A,30363,GA,AFRD Station 11,Atlanta,30363,1.053193423,Point,Point,240,180,240,60,300
United States,21049139,Atlanta,1/15/2022 6:14:00 PM,Detailed description of the incident #21049139,fire alarm (assembly),F3A,30313,GA,AFRD Station 1,Atlanta,30313,2.124226151,Point,Point,600,120,240,120,300
United States,21089652,Atlanta,6/10/2022 1:51:00 AM,Detailed description of the incident #21089652,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.562471286,Point,Point,360,120,240,0,300
United States,21093767,Atlanta,6/28/2022 12:36:00 PM,Detailed description of the incident #21093767,fire alarm (assembly),F3A,30310,GA,AFRD Station 7,Atlanta,30310,0.759380870,Point,Point,420,0,240,120,300
United States,22001090,Atlanta,7/5/2022 2:22:00 PM,Detailed description of the incident #22001090,fire alarm (assembly),F3A,30309,GA,AFRD Station 15,Atlanta,30309,0.434522081,Point,Point,180,0,240,120,300
United States,21045281,Atlanta,1/2/2022 11:24:00 AM,Detailed description of the incident #21045281,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.216469505,Point,Point,360,0,240,60,300
United States,21047004,Atlanta,1/8/2022 10:13:00 AM,Detailed description of the incident #21047004,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.699865040,Point,Point,300,180,240,60,300
United States,21049554,Atlanta,1/17/2022 7:36:00 AM,Detailed description of the incident #21049554,fire alarm (assembly),F3A,30309,GA,AFRD Station 15,Atlanta,30309,0.766966664,Point,Point,300,60,240,60,300
United States,21062421,Atlanta,3/2/2022 10:57:00 AM,Detailed description of the incident #21062421,fire alarm (assembly),F3A,30363,GA,AFRD Station 11,Atlanta,30363,0.268447314,Point,Point,240,0,240,60,300
United States,21070162,Atlanta,4/2/2022 6:39:00 PM,Detailed description of the incident #21070162,fire alarm (assembly),F3A,30313,GA,AFRD Station 1,Atlanta,30313,2.728321933,Point,Point,480,60,240,60,300
United States,21078711,Atlanta,5/10/2022 5:31:00 PM,Detailed description of the incident #21078711,fire alarm (assembly),F3A,30311,GA,AFRD Station 25,Atlanta,30311,1.645177701,Point,Point,480,60,240,60,300
United States,21002739,Atlanta,11/18/2021 11:40:00 PM,Detailed description of the incident #21002739,fire (assembly),F33A,30363,GA,AFRD Station 11,Atlanta,30363,0.573855927,Point,Point,0,60,240,60,300
United States,21009998,Atlanta,12/15/2021 1:37:00 PM,Detailed description of the incident #21009998,odor of gas/smoke or unknown,F93,30317,GA,AFRD Station 18,Atlanta,30317,0.547115208,Point,Point,540,240,240,60,300
United States,21042953,Atlanta,12/24/2021 6:32:00 PM,Detailed description of the incident #21042953,grass/brush fire/outside burning,F35,30307,GA,AFRD Station 12,Atlanta,30307,0.587937473,Point,Point,240,120,240,60,300
United States,21071212,Atlanta,4/6/2022 11:50:00 PM,Detailed description of the incident #21071212,auto accident involving fire vehicle,F41F,30324,GA,AFRD Station 29,Atlanta,30324,1.393918915,Point,Point,0,60,240,0,300
United States,21077656,Atlanta,5/5/2022 10:27:00 AM,Detailed description of the incident #21077656,vehicle fire,F34,30315,GA,AFRD Station 30,Atlanta,30315,1.020872579,Point,Point,120,300,240,0,300
United States,21092011,Atlanta,6/20/2022 12:17:00 PM,Detailed description of the incident #21092011,fire alarm (assembly),F3A,30317,GA,AFRD Station 18,Atlanta,30317,0.857626270,Point,Point,420,120,240,60,300
United States,22003438,Atlanta,7/15/2022 3:11:00 PM,Detailed description of the incident #22003438,fire alarm (assembly),F3A,30363,GA,AFRD Station 11,Atlanta,30363,1.035767860,Point,Point,360,0,240,120,300
United States,21006506,Atlanta,12/3/2021 8:11:00 AM,Detailed description of the incident #21006506,fire alarm (assembly),F3A,30324,GA,AFRD Station 29,Atlanta,30324,0.911655539,Point,Point,420,60,240,60,300
United States,21009246,Atlanta,12/12/2021 5:57:00 PM,Detailed description of the incident #21009246,odor of gas/smoke or unknown,F93,30307,GA,AFRD Station 12,Atlanta,30307,0.294887277,Point,Point,420,60,240,60,300
United States,21047282,Atlanta,1/9/2022 6:42:00 AM,Detailed description of the incident #21047282,fire alarm (assembly),F3A,30312,GA,AFRD Station 4,Atlanta,30312,0.201615304,Point,Point,420,120,240,60,300
United States,21051137,Atlanta,1/22/2022 11:53:00 AM,Detailed description of the incident #21051137,fire alarm (assembly),F3A,30331,GA,AFRD Station 31,Atlanta,30331,0.080370636,Point,Point,60,60,240,60,300
United States,21060823,Atlanta,2/24/2022 5:32:00 AM,Detailed description of the incident #21060823,vehicle fire,F34,30312,GA,AFRD Station 4,Atlanta,30312,0.648437988,Point,Point,360,4620,240,120,300
United States,21077365,Atlanta,5/3/2022 6:27:00 PM,Detailed description of the incident #21077365,odor of gas/smoke or unknown,F93,30306,GA,AFRD Station 19,Atlanta,30306,0.111403759,Point,Point,540,360,240,60,300
United States,21087048,Atlanta,5/28/2022 7:20:00 PM,Detailed description of the incident #21087048,fire alarm (assembly),F3A,30313,GA,AFRD Station 1,Atlanta,30313,2.739290176,Point,Point,180,120,240,0,300
United States,21087669,Atlanta,5/31/2022 8:48:00 PM,Detailed description of the incident #21087669,fire alarm (assembly),F3A,30309,GA,AFRD Station 15,Atlanta,30309,0.533628553,Point,Point,360,0,240,120,300
United States,21091654,Atlanta,6/18/2022 9:47:00 PM,Detailed description of the incident #21091654,fire alarm (assembly),F3A,30314,GA,AFRD Station 16,Atlanta,30314,0.799986524,Point,Point,600,120,240,60,300
United States,21048322,Atlanta,1/13/2022 5:01:00 AM,Detailed description of the incident #21048322,fire alarm (assembly),F3A,30307,GA,AFRD Station 12,Atlanta,30307,0.379068944,Point,Point,180,0,240,120,300
United States,21053737,Atlanta,1/31/2022 2:14:00 AM,Detailed description of the incident #21053737,fire alarm (assembly),F3A,30310,GA,AFRD Station 7,Atlanta,30310,0.641752880,Point,Point,300,60,240,60,300
United States,21060640,Atlanta,2/23/2022 2:53:00 PM,Detailed description of the incident #21060640,fire alarm (assembly),F3A,30363,GA,AFRD Station 11,Atlanta,30363,1.038306552,Point,Point,420,240,240,0,300
United States,21089861,Atlanta,6/11/2022 12:57:00 AM,Detailed description of the incident #21089861,odor of gas/smoke or unknown,F93,30318,GA,AFRD Station 23,Atlanta,30318,1.193152572,Point,Point,480,180,240,120,300
United States,22002441,Atlanta,7/11/2022 10:30:00 AM,Detailed description of the incident #22002441,fire alarm (assembly),F3A,30327,GA,AFRD Station 26,Atlanta,30327,0.328649333,Point,Point,240,120,240,0,300
United States,22003756,Atlanta,7/16/2022 6:53:00 PM,Detailed description of the incident #22003756,fire alarm (assembly),F3A,30318,GA,AFRD Station 23,Atlanta,30318,1.067829102,Point,Point,180,60,240,0,300
United States,21001375,Atlanta,11/13/2021 8:40:00 AM,Detailed description of the incident #21001375,fire alarm (assembly),F3A,30316,GA,AFRD Station 13,Atlanta,30316,0.525708048,Point,Point,240,0,240,120,300
United States,21002597,Atlanta,11/18/2021 10:31:00 AM,Detailed description of the incident #21002597,fire alarm (assembly),F3A,30307,GA,AFRD Station 12,Atlanta,30307,0.408980925,Point,Point,180,60,240,60,300
United States,21011234,Atlanta,12/19/2021 3:00:00 PM,Detailed description of the incident #21011234,fire alarm (assembly),F3A,30305,GA,AFRD Station 21,Atlanta,30305,0.996812677,Point,Point,300,60,240,0,300
United States,21050490,Atlanta,1/20/2022 12:17:00 PM,Detailed description of the incident #21050490,vehicle fire,F34,30310,GA,AFRD Station 20,Atlanta,30310,0.762027138,Point,Point,360,60,240,0,300
United States,21058731,Atlanta,2/17/2022 2:09:00 AM,Detailed description of the incident #21058731,vehicle fire,F34,30312,GA,AFRD Station 4,Atlanta,30312,0.257800481,Point,Point,480,180,240,60,300
