Incident #,Incident City,Incident Date,Incident Description,Incident Type,Incident Type Code,Incident ZipCode,Station,Station City,Station ZipCode,Distance,Incident Position,Station Position,Time to Arrival (s),Time to Dispatch (s),Time to Dispatch Target (s),Time to En Route (s),Time to En Route Target (s),Day,Month,Year,Time,Dispatch Time/Target Ratio,En Route Time/Target Ratio
21047239,Atlanta,2022-01-09 02:16:00,Detailed description of the incident #21047239,Fire Related,F3A,30312,AFRD Station 10,Atlanta,30312,0.555623005,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),120,60,240,60,300,9,1,2022,02:16:00,25.0%,20.0%
21056236,Atlanta,2022-02-08 18:22:00,Detailed description of the incident #21056236,Fire Related,F33PD,30312,AFRD Station 4,Atlanta,30312,0.281196095,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),180,60,240,60,300,8,2,2022,18:22:00,25.0%,20.0%
21056529,Atlanta,2022-02-09 20:41:00,Detailed description of the incident #21056529,Fire Related,F33B,30318,AFRD Station 38,Atlanta,30318,0.432097204,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),120,0,240,60,300,9,2,2022,20:41:00,0.0%,20.0%
21057816,Atlanta,2022-02-14 02:36:00,Detailed description of the incident #21057816,Fire Related,F35,30310,AFRD Station 7,Atlanta,30310,0.713438898,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,120,240,60,300,14,2,2022,02:36:00,50.0%,20.0%
21063945,Atlanta,2022-03-08 11:03:00,Detailed description of the incident #21063945,Gas Related,F93,30315,AFRD Station 30,Atlanta,30315,0.232618728,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),60,180,240,0,300,8,3,2022,11:03:00,75.0%,0.0%
21068282,Atlanta,2022-03-25 18:26:00,Detailed description of the incident #21068282,Fire Related,F33B,30310,AFRD Station 14,Atlanta,30310,1.549751008,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),180,60,240,60,300,25,3,2022,18:26:00,25.0%,20.0%
21076925,Atlanta,2022-05-01 19:06:00,Detailed description of the incident #21076925,Fire Related,F3A,30363,AFRD Station 11,Atlanta,30363,0.945144072,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),300,60,240,60,300,1,5,2022,19:06:00,25.0%,20.0%
21079377,Atlanta,2022-05-13 17:26:00,Detailed description of the incident #21079377,Fire Related,F35,30331,AFRD Station 9,Atlanta,30331,1.174493701,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),420,120,240,60,300,13,5,2022,17:26:00,50.0%,20.0%
21080235,Atlanta,2022-05-17 17:31:00,Detailed description of the incident #21080235,Fire Related,F3A,30312,AFRD Station 4,Atlanta,30312,0.588019468,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),1020,360,240,60,300,17,5,2022,17:31:00,150.0%,20.0%
22005267,Atlanta,2022-07-24 07:08:00,Detailed description of the incident #22005267,Fire Related,F34,30363,AFRD Station 11,Atlanta,30363,0.158014104,(INCIDENT POSITION NOT SPECIFIED),(STATION POSITION NOT SPECIFIED),540,120,240,0,300,24,7,2022,07:08:00,50.0%,0.0%
